metodo,praticar,velocidade,precisao
A,C1,36,26
A,C1,34,22
A,C1,28,21
A,C1,34,23
A,C1,34,21
A,C1,29,19
A,C1,48,25
A,C1,28,20
A,C1,34,21
A,C1,38,20
A,C2,46,17
A,C2,34,21
A,C2,31,17
A,C2,31,18
A,C2,36,23
A,C2,26,19
A,C2,35,16
A,C2,33,19
A,C2,23,15
A,C2,30,14
A,C3,26,14
A,C3,31,14
A,C3,30,16
A,C3,34,16
A,C3,30,13
A,C3,27,13
A,C3,21,12
A,C3,31,15
A,C3,37,14
A,C3,29,14
B,C1,42,25
B,C1,47,24
B,C1,51,29
B,C1,35,25
B,C1,37,26
B,C1,44,28
B,C1,44,25
B,C1,49,24
B,C1,43,24
B,C1,36,26
B,C2,32,18
B,C2,39,19
B,C2,37,17
B,C2,31,17
B,C2,36,19
B,C2,32,19
B,C2,31,17
B,C2,41,21
B,C2,36,18
B,C2,40,20
B,C3,28,11
B,C3,28,10
B,C3,25,10
B,C3,22,12
B,C3,27,11
B,C3,25,12
B,C3,33,14
B,C3,31,13
B,C3,28,12
B,C3,23,11
